398576:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 17482, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 12494, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 5722, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18243, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 7014, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21350, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 13454, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 14443, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21048, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 13840, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 23610, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 25800, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 21733, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 11888, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10865, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 10808, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 20766, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 9581, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 8703, fractionAlong: 0.5]
333916:
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16103, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 5854, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 9783, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 25088, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 24108, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 8585, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 24536, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 22150, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 17463, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16689, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16222, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18766, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18771, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19220, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 8304, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 16107, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19244, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 25792, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 11620, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 23327, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 18785, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 12450, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 11368, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 25358, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 25079, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 26410, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 5435, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 19235, fractionAlong: 0.5]
SingleElectricalInput: [Input: RandomSpikeTrain, cellGroup: neuron_PN2_RS_sk_480245, cellNumber: 0, segmentId: 14389, fractionAlong: 0.5]
